"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"5","냉동명태","러시아","2019-01-16","20,400","불검출","불검출","적합"
"6","냉동가자미(각시가자미)","러시아","2019-01-16","22,050","불검출","불검출","적합"
"7","냉동가자미(각시가자미,F)","미국","2019-01-16","6,300","불검출","불검출","적합"
"8","냉동꽁치","대만","2019-01-16","161,279","불검출","불검출","적합"
"9","냉동꽁치","대만","2019-01-16","36,038","불검출","불검출","적합"
"10","냉동명태(F)","러시아","2019-01-16","23,250","불검출","불검출","적합"
"11","냉동꽁치","대만","2019-01-16","54,141","불검출","불검출","적합"
"12","냉동가자미(각시가자미)","러시아","2019-01-16","22,500","불검출","불검출","적합"
"13","냉동명태(F)","러시아","2019-01-16","14,400","불검출","불검출","적합"
"14","냉동명태(F)","러시아","2019-01-16","22,000","불검출","불검출","적합"
"합계","","-","-","527,634","-","-","-"
