"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 107건","","","","166,859","","",""
"1","소스","아오모리현","2018-12-17","1,260","불검출","불검출","적합"
"2","혼합제제","오사카부","2018-12-18","75","불검출","불검출","적합"
"3","카레(커리)","나가노현","2018-11-07","500","불검출","불검출","적합"
"4","카레(커리)","아이치현","2018-12-10","13,320","불검출","불검출","적합"
"5","카레(커리)","나라현","2018-09-08","1,000","불검출","불검출","적합"
"6","카레(커리)","나라현","2018-10-17","7,000","불검출","불검출","적합"
"7","당류가공품","오사카부","2018-11-20","198","불검출","불검출","적합"
"8","당류가공품","오사카부","2018-11-19","205","불검출","불검출","적합"
"9","당류가공품","교토부","2018-11-07","32","불검출","불검출","적합"
"10","당류가공품","오사카부","2018-11-24","113","불검출","불검출","적합"
"11","캔디류","오사카부","2018-11-29","50","불검출","불검출","적합"
"12","캔디류","오사카부","2018-11-27","60","불검출","불검출","적합"
"13","기타가공품","오사카부","2018-10-10","73","불검출","불검출","적합"
"14","당류가공품","오사카부","2018-11-26","38","불검출","불검출","적합"
