"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 79건","","","","959,273","","",""
"1","혼합제제","효고현","2017-07-24","17","불검출","불검출","적합"
"2","자당지방산에스테르","시가현","2017-07-10","3,000","불검출","불검출","적합"
"3","건어포류","군마현","2017-07-07","1,036","불검출","불검출","적합"
"4","음료베이스","오키나와현","2017-07-12","1,000","불검출","불검출","적합"
"5","혼합제제","사이타마현","2017-07-19","25","불검출","불검출","적합"
"6","양조간장","오사카부","2017-07-20","1,520","불검출","불검출","적합"
"7","혼합제제","사이타마현","2017-07-18","480","불검출","불검출","적합"
"8","alpha-아밀라아제
(세균성)","시가현","2017-07-12","731","불검출","불검출","적합"
"9","혼합음료","도쿄도","2017-06-15","8,266","불검출","불검출","적합"
"10","복합조미식품","히로시마현","2017-07-01","72","불검출","불검출","적합"
"11","혼합음료","야마나시현","2017-05-19","8,280","불검출","불검출","적합"
"12","캔디류(젤리)","아이치현","2017-07-10","173","불검출","불검출","적합"
