"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"17","활가리비","홋카이도","2015-10-06","7,180","불검출","불검출","적합"
"18","활우렁쉥이","홋카이도","2015-10-06","8,964","불검출","불검출","적합"
"19","활우렁쉥이","홋카이도","2015-10-06","17,964","불검출","불검출","적합"
"20","냉장준치","구마모토현","2015-10-06","273","불검출","불검출","적합"
"21","냉장갈치","에히메현","2015-10-06","312","불검출","불검출","적합"
"22","냉장갈치","오이타현","2015-10-06","515","불검출","불검출","적합"
"23","냉장갈치","야마구치현","2015-10-06","220","불검출","불검출","적합"
"24","활꼬막","사가현","2015-10-06","200","불검출","불검출","적합"
"25","활꼬막 새꼬막
(
)","사가현","2015-10-06","3,700","불검출","불검출","적합"
"26","활꼬막 새꼬막
(
)","후쿠오카현","2015-10-06","1,340","불검출","불검출","적합"
"27","활가리비","홋카이도","2015-10-06","6,980","불검출","불검출","적합"
"28","활장어 먹장어
(
)","후쿠오카현","2015-10-06","1,751","불검출","불검출","적합"
