"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건28","-","-","67,089","-","-","-"
"1","활꼬막","후쿠오카현","2015-10-02","2,480","불검출","불검출","적합"
"2","활꼬막 새꼬막
(
)","후쿠오카현","2015-10-02","4,480","불검출","불검출","적합"
"3","냉장갈치","와카야마현","2015-10-02","1,304","불검출","불검출","적합"
"4","냉장갈치","오이타현","2015-10-02","2,035","불검출","불검출","적합"
"5","냉장갈치","야마구치현","2015-10-02","465","불검출","불검출","적합"
"6","냉장홍어","야마구치현","2015-10-02","440","불검출","불검출","적합"
"7","냉장홍어","홋카이도","2015-10-02","5,362","불검출","불검출","적합"
"8","활꼬막","후쿠오카현","2015-10-02","3,020","불검출","불검출","적합"
"9","활꼬막","사가현","2015-10-02","600","불검출","불검출","적합"
"10","활꼬막 새꼬막
(
)","사가현","2015-10-02","3,160","불검출","불검출","적합"
"11","냉장명태","홋카이도","2015-10-02","2,696","불검출","불검출","적합"
"12","냉장갈치","와카야마현","2015-10-02","2,806","불검출","불검출","적합"
"13","냉장홍어","홋카이도","2015-10-02","2,634","불검출","불검출","적합"
"14","활우렁쉥이","홋카이도","2015-10-02","8,427","불검출","불검출","적합"
"15","활꼬막 새꼬막
(
)","사가현","2015-10-02","3,160","불검출","불검출","적합"
"16","활꼬막","사가현","2015-10-02","1,000","불검출","불검출","적합"
