"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건13","-","-","31,637","-","-","-"
"1","냉장갈치","와카야마현","2015-10-05","1,600","불검출","불검출","적합"
"2","냉장갈치","에히메현","2015-10-05","432","불검출","불검출","적합"
"3","냉장돔 황돔(
)","야마구치현","2015-10-05","340","불검출","불검출","적합"
"4","냉장갈치","와카야마현","2015-10-05","3,156","불검출","불검출","적합"
"5","냉장갈치","와카야마현","2015-10-05","1,960","불검출","불검출","적합"
"6","냉장명태","홋카이도","2015-10-05","4,264","불검출","불검출","적합"
"7","냉장명태","홋카이도","2015-10-05","4,264","불검출","불검출","적합"
"8","냉장홍어","홋카이도","2015-10-05","174","불검출","불검출","적합"
"9","냉장갈치","에히메현","2015-10-05","356","불검출","불검출","적합"
"10","냉장갈치","와카야마현","2015-10-05","792","불검출","불검출","적합"
"11","활가리비","홋카이도","2015-10-05","6,963","불검출","불검출","적합"
"12","활가리비","홋카이도","2015-10-05","6,985","불검출","불검출","적합"
"13","냉동다랑어
(
남방참다랑어 횟감
,F,
)","인도양","2015-10-05","351","불검출","불검출","적합"
