"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건28","-","-","146,851","-","-","-"
"1","활돔 참돔(
)","에히메현","2015-10-06","12,886","불검출","불검출","적합"
"2","활돔 참돔(
)","구마모토현","2015-10-06","7,280","불검출","불검출","적합"
"3","활돔 쥐돔(
)","나가사키현","2015-10-06","314","불검출","불검출","적합"
"4","활돔 참돔(
)","구마모토현","2015-10-06","12,471","불검출","불검출","적합"
"5","활돔 참돔(
)","나가사키현","2015-10-06","9,100","불검출","불검출","적합"
"6","활돔 참돔(
)","에히메현","2015-10-06","4,607","불검출","불검출","적합"
"7","활돔 참돔(
)","나가사키현","2015-10-06","5,885","불검출","불검출","적합"
"8","활돔 참돔(
)","에히메현","2015-10-06","9,307","불검출","불검출","적합"
"9","활돔 참돔(
)","나가사키현","2015-10-06","11,759","불검출","불검출","적합"
"10","활가리비","홋카이도","2015-10-06","7,000","불검출","불검출","적합"
"11","활가리비","홋카이도","2015-10-06","7,000","불검출","불검출","적합"
"12","냉장홍어","홋카이도","2015-10-06","2,294","불검출","불검출","적합"
"13","냉장갈치","와카야마현","2015-10-06","646","불검출","불검출","적합"
"14","냉장명태","홋카이도","2015-10-06","1,566","불검출","불검출","적합"
"15","냉장홍어","홋카이도","2015-10-06","4,681","불검출","불검출","적합"
"16","냉장갈치","에히메현","2015-10-06","656","불검출","불검출","적합"
