"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 165건","","","","1,501,076","","",""
"1","과자","이바라키현","2018-02-01","5,580","불검출","불검출","적합"
"2","생면","히로시마현","2017-07-07","6,048","불검출","불검출","적합"
"3","소스","후쿠오카현","2018-01-25","300","불검출","불검출","적합"
"4","향미유","사이타마현","2017-12-12","35","불검출","불검출","적합"
"5","소스","사이타마현","2018-01-10","330","불검출","불검출","적합"
"6","소스","후쿠오카현","2018-02-08","1,350","불검출","불검출","적합"
"7","소스","후쿠오카현","2018-01-24","300","불검출","불검출","적합"
"8","소스","후쿠오카현","2018-01-23","1,000","불검출","불검출","적합"
"9","고형차","교토부","","340","불검출","불검출","적합"
"10","소스","후쿠오카현","2018-01-16","1,500","불검출","불검출","적합"
"11","소스","히로시마현","2018-02-14","2,100","불검출","불검출","적합"
"12","과자","아이치현","2018-02-13","882","불검출","불검출","적합"
"13","캔디류","니가타현","2017-12-10","448","불검출","불검출","적합"
