"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건17","-","-","59,353","-","-","-"
"1","활가리비","홋카이도","2015-09-11","7,000","불검출","불검출","적합"
"2","활가리비","홋카이도","2015-09-11","7,000","불검출","불검출","적합"
"3","냉동다랑어
(
눈다랑어 목살
,
)","태평양","2015-09-11","1,480","불검출","불검출","적합"
"4","냉동기름치","대서양","2015-09-11","15,267","불검출","불검출","적합"
"5","활가리비","홋카이도","2015-09-11","7,232","불검출","불검출","적합"
"6","냉장돔 황돔(
)","야마구치현","2015-09-11","95","불검출","불검출","적합"
"7","냉장갈치","오이타현","2015-09-11","255","불검출","불검출","적합"
"8","활가리비","홋카이도","2015-09-11","7,467","불검출","불검출","적합"
"9","활꼬막","사가현","2015-09-11","1,400","불검출","불검출","적합"
"10","활장어 먹장어
(
)","나가사키현","2015-09-11","682","불검출","불검출","적합"
"11","냉장돔 참돔(
)","나가사키현","2015-09-11","600","불검출","불검출","적합"
"12","냉장돔 황돔(
)","나가사키현","2015-09-11","504","불검출","불검출","적합"
"13","냉장가오리","에히메현","2015-09-11","250","불검출","불검출","적합"
"14","냉장갈치","에히메현","2015-09-11","504","불검출","불검출","적합"
"15","냉장갈치","오이타현","2015-09-11","1,275","불검출","불검출","적합"
"16","활가리비","홋카이도","2015-09-11","6,954","불검출","불검출","적합"
"17","활장어 먹장어
(
)","후쿠오카현","2015-09-11","1,388","불검출","불검출","적합"
