"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건42","-","-","136,419","-","-","-"
"1","활돔 참돔(
)","나가사키현","2015-09-15","8,924","불검출","불검출","적합"
"2","활돔 쥐돔(
)","나가사키현","2015-09-15","379","불검출","불검출","적합"
"3","활돔 참돔(
)","에히메현","2015-09-15","8,556","불검출","불검출","적합"
"4","활돔 참돔(
)","에히메현","2015-09-15","8,963","불검출","불검출","적합"
"5","활가리비","홋카이도","2015-09-15","7,000","불검출","불검출","적합"
"6","활꼬막","후쿠오카현","2015-09-15","5,020","불검출","불검출","적합"
"7","냉동다랑어
(
눈다랑어목살횟감
,
,
)","태평양","2015-09-15","1,000","불검출","불검출","적합"
"8","냉장갈치","에히메현","2015-09-15","256","불검출","불검출","적합"
"9","냉장명태","홋카이도","2015-09-15","1,188","불검출","불검출","적합"
"10","냉장홍어","홋카이도","2015-09-15","1,981","불검출","불검출","적합"
"11","활꼬막","사가현","2015-09-15","100","불검출","불검출","적합"
"12","활꼬막 새꼬막
(
)","사가현","2015-09-15","2,400","불검출","불검출","적합"
"13","냉장홍어","홋카이도","2015-09-15","3,537","불검출","불검출","적합"
"14","활가리비","홋카이도","2015-09-15","6,904","불검출","불검출","적합"
"15","냉장명태","홋카이도","2015-09-15","2,510","불검출","불검출","적합"
"16","냉장명태","홋카이도","2015-09-15","550","불검출","불검출","적합"
"17","냉장갈치","와카야마현","2015-09-15","2,048","불검출","불검출","적합"
