"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 144건","","","","226,760","","",""
"1","과자(쿠키)","이바라키현","2017-08-31","192","불검출","불검출","적합"
"2","소주","구마모토현","2017-07-29","43","불검출","불검출","적합"
"3","소주","구마모토현","2017-08-23","130","불검출","불검출","적합"
"4","청주","효고현","2017-08-21","1,200","불검출","불검출","적합"
"5","즉석조리식품","오카야마현","2017-09-05","420","불검출","불검출","적합"
"6","즉석조리식품","오카야마현","2017-09-07","631","불검출","불검출","적합"
"7","과자(비스킷)","이바라키현","2017-08-31","350","불검출","불검출","적합"
"8","유탕면류","아이치현","2017-08-30","65","불검출","불검출","적합"
"9","유탕면류","아이치현","2017-08-30","88","불검출","불검출","적합"
"10","혼합제제","시즈오카현","2017-08-08","1,850","불검출","불검출","적합"
"11","유탕면류","아이치현","2017-08-28","113","불검출","불검출","적합"
"12","유탕면류","아이치현","2017-09-15","135","불검출","불검출","적합"
"13","캔디류(사탕)","미에현","2017-09-20","65","불검출","불검출","적합"
