"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","72건","","115,520","","",""
"1","청국장","도치기현","2014-06-07","1,085.9","불검출","불검출","적합"
"2","즉석조리식품","야마나시현","2014-06-24","46.34","불검출","불검출","적합"
"3","소스류","지바현","2014-03-22","792","불검출","불검출","적합"
"4","테아닌","미에현","2014-06-03","10","불검출","불검출","적합"
"5","혼합장","야마나시현","2014-06-26","1,500","불검출","불검출","적합"
"6","치자청색소","효고현","2014-07-04","50","불검출","불검출","적합"
"7","소스류","교토부","2014-06-18","4,902.8","불검출","불검출","적합"
"8","소스류","교토부","2014-06-21","2,470","불검출","불검출","적합"
"9","소스류","교토부","2014-06-21","2,560","불검출","불검출","적합"
"10","소스류","교토부","2014-06-13","2,358","불검출","불검출","적합"
"11","소스류","교토부","2014-06-27","3,400","불검출","불검출","적합"
"12","소스류","교토부","2014-05-22","135","불검출","불검출","적합"
"13","소스류","교토부","2014-06-10","680","불검출","불검출","적합"
"14","소스류","교토부","2014-06-27","408","불검출","불검출","적합"
"15","소스류","교토부","2014-06-11","130","불검출","불검출","적합"
"16","소스류","교토부","2014-06-26","254","불검출","불검출","적합"
"17","소스류","교토부","2014-06-11","219.3","불검출","불검출","적합"
"18","복합조미식품","교토부","2014-05-23","880","불검출","불검출","적합"
