"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","98건","","185,958","","",""
"1","자몽종자추출물","지바현","2014-06-13","2,000","불검출","불검출","적합"
"2","액상차","후쿠이현","2014-05-14","444","불검출","불검출","적합"
"3","침출차","고치현","2014-05-26","87.6","불검출","불검출","적합"
"4","청주","아이치현","2014-05-28","25.92","불검출","불검출","적합"
"5","건어포류","가고시마현","2014-05-31","1,084","불검출","불검출","적합"
"6","건어포류","가고시마현","2014-06-11","1,182","불검출","불검출","적합"
"7","마요네즈","사가현","2014-05-23","150","불검출","불검출","적합"
"8","청국장","도치기현","2014-06-07","1,140.5","불검출","불검출","적합"
"9","과자(스낵과자)","아이치현","2014-06-24","136.8","불검출","불검출","적합"
"10","국수","훗카이도","2014-05-23","48.1","불검출","불검출","적합"
"11","국수","훗카이도","2014-06-03","47.7","불검출","불검출","적합"
"12","혼합제제","지바현","2014-06-24","327.6","불검출","불검출","적합"
"13","식초절임","나가노현","2014-06-23","750","불검출","불검출","적합"
"14","혼합제제","시즈오카현","2014-06-23","100","불검출","불검출","적합"
"15","곡류가공품","아이치현","2014-04-21","648","불검출","불검출","적합"
"16","복합조미식품","가나가와현","2014-05-01","33,520","불검출","불검출","적합"
"17","과자(쿠키)","군마현","2014-06-17","353.6","불검출","불검출","적합"
"18","과자(쿠키)","군마현","2014-06-12","372.4","불검출","불검출","적합"
