"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 153건","","","","1,128,852","","",""
"1","합성착향료","지바현","2017-11-17","250","불검출","불검출","적합"
"2","당류가공품","지바현","2017-11-13","96","불검출","불검출","적합"
"3","당류가공품","사이타마현","2017-09-05","36","불검출","불검출","적합"
"4","혼합장","나가노현","2017-11-22","5,000","불검출","불검출","적합"
"5","복합조미식품","군마현","2017-11-17","3,600","불검출","불검출","적합"
"6","혼합장","나가노현","2017-11-20","7,000","불검출","불검출","적합"
"7","캔디류(사탕)","오사카부","2017-11-02","370","불검출","불검출","적합"
"8","캔디류(사탕)","오사카부","2017-11-01","158","불검출","불검출","적합"
"9","캔디류(사탕)","오사카부","2017-11-02","370","불검출","불검출","적합"
"10","캔디류(사탕)","오사카부","2017-11-06","528","불검출","불검출","적합"
"11","캔디류(사탕)","오사카부","2017-11-01","528","불검출","불검출","적합"
"12","고형차","교토부","2017-11-22","1,000","불검출","불검출","적합"
"13","캔디류(사탕)","미에현","2017-11-02","1,690","불검출","불검출","적합"
