"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"18","냉장명태","홋카이도","2016-04-12","1,440","불검출","불검출","적합"
"19","냉장명태","홋카이도","2016-04-12","1,500","불검출","불검출","적합"
"20","냉장명태","홋카이도","2016-04-12","330","불검출","불검출","적합"
"21","냉장명태","홋카이도","2016-04-12","2,364","불검출","불검출","적합"
"22","냉동다랑어
(
남방참다랑어
)","인도양","2016-04-12","12,940","불검출","불검출","적합"
"23","냉동다랑어
(
눈다랑어 횟감
,F,
)","대서양","2016-04-12","2,185","불검출","불검출","적합"
"24","냉장명태","홋카이도","2016-04-12","1,830","불검출","불검출","적합"
"25","냉장명태","홋카이도","2016-04-12","2,376","불검출","불검출","적합"
"26","활가리비","홋카이도","2016-04-12","7,160","불검출","불검출","적합"
"27","활가리비","홋카이도","2016-04-12","7,012","불검출","불검출","적합"
"28","활꼬막","사가현","2016-04-12","520","불검출","불검출","적합"
"29","활꼬막 새꼬막
(
)","사가현","2016-04-12","1,400","불검출","불검출","적합"
"30","냉장돔 황돔(
)","야마구치현","2016-04-12","130","불검출","불검출","적합"
