"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","107","","100,302","","",""
"1","조미건어포류","훗카이도","2015-02-18","300","불검출","불검출","적합"
"2","소스류","후쿠오카현","2015-02-09","727.6","불검출","불검출","적합"
"3","캔디류(캐러멜)","기후현","2015-01-28","80","불검출","불검출","적합"
"4","캔디류(캐러멜)","기후현","2015-01-26","160","불검출","불검출","적합"
"5","청주","교토부","2015-02-03","921.6","불검출","불검출","적합"
"6","청주","효고현","2015-02-02","180","불검출","불검출","적합"
"7","청주","효고현","2015-01-29","3,240","불검출","불검출","적합"
"8","청주","효고현","2015-01-14","4,860","불검출","불검출","적합"
"9","청주","효고현","2015-01-19","384","불검출","불검출","적합"
"10","청주","효고현","2015-02-04","36","불검출","불검출","적합"
"11","청주","훗카이도","2015-01-21","43.2","불검출","불검출","적합"
"12","혼합제제","나가노현","2015-02-10","1,000","불검출","불검출","적합"
