"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","144","","381,127","","",""
"1","캔디류(젤리)","아이치현","2015-01-26","800","불검출","불검출","적합"
"2","혼합제제","도쿄도","2015-02-06","30","불검출","불검출","적합"
"3","청주","효고현","2014-11-12","43.2","불검출","불검출","적합"
"4","청주","효고현","2014-12-19","108","불검출","불검출","적합"
"5","청주","효고현","2015-02-16","1,152","불검출","불검출","적합"
"6","조미건어포류","훗카이도","2015-02-19","120","불검출","불검출","적합"
"7","청주","효고현","2014-12-09","2,670","불검출","불검출","적합"
"8","청주","효고현","2015-01-15","1,410","불검출","불검출","적합"
"9","청주","효고현","2014-12-16","270","불검출","불검출","적합"
"10","청주","효고현","2014-12-25","270","불검출","불검출","적합"
"11","양조간장","오사카부","2015-02-17","900","불검출","불검출","적합"
"12","청주","효고현","2015-01-21","108","불검출","불검출","적합"
