"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 110건","","","","308,658","","",""
"1","즉석조리식품","사이타마현","2018-07-21","1,560","불검출","불검출","적합"
"2","즉석조리식품","가가와현","2018-07-28","1,800","불검출","불검출","적합"
"3","과자","아이치현","2018-07-18","120","불검출","불검출","적합"
"4","과자","아이치현","2018-07-18","144","불검출","불검출","적합"
"5","혼합제제","효고현","2018-08-08","51","불검출","불검출","적합"
"6","혼합제제","가나가와현","2018-07-31","40","불검출","불검출","적합"
"7","기타천연착향료","가나가와현","2018-07-31","60","불검출","불검출","적합"
"8","고형차","교토부","","1,276","불검출","불검출","적합"
"9","양조간장","아이치현","2018-07-04","1,620","불검출","불검출","적합"
"10","소스","에히메현","2018-08-09","1,940","불검출","불검출","적합"
"11","소스","후쿠오카현","2018-07-31","10,500","불검출","불검출","적합"
"12","소스","군마현","2018-07-10","5,265","불검출","불검출","적합"
"13","과자","이바라키현","2018-08-08","2,880","불검출","불검출","적합"
"14","과자","이바라키현","2018-08-06","4,320","불검출","불검출","적합"
