"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 50건","","","","635,802","","",""
"1","양조간장","지바현","2018-06-06","585","불검출","불검출","적합"
"2","소스","지바현","2018-07-12","1,847","불검출","불검출","적합"
"3","어묵","ETC","2018-06-24","388","불검출","불검출","적합"
"4","즉석조리식품","사이타마현","2018-07-26","1,500","불검출","불검출","적합"
"5","혼합제제","이바라키현","2018-07-17","660","불검출","불검출","적합"
"6","혼합제제","오카야마현","2018-07-30","1,000","불검출","불검출","적합"
"7","과·채가공품","오카야마현","2018-06-20","9,600","불검출","불검출","적합"
"8","건어포","에히메현","2018-08-09","169","불검출","불검출","적합"
"9","액상차","미에현","2018-08-07","3,000","불검출","불검출","적합"
"10","탄산음료","오사카부","2018-07-28","3,000","불검출","불검출","적합"
"11","소스","오사카부","2018-06-29","640","불검출","불검출","적합"
"12","합성향료","효고현","2018-08-08","238","불검출","불검출","적합"
"13","혼합제제","효고현","2018-08-01","68","불검출","불검출","적합"
"14","혼합제제","히로시마현","2018-07-18","15","불검출","불검출","적합"
