"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","149건","","265,951","","",""
"1","액상커피","미에현","2014-05-08","432","불검출","불검출","적합"
"2","액상커피","미에현","2014-05-02","432","불검출","불검출","적합"
"3","음료베이스","미에현","2014-05-22","480","불검출","불검출","적합"
"4","과자(쿠키)","도쿠시마현","2014-04-14","90.9","불검출","불검출","적합"
"5","과자(쿠키)","도쿠시마현","2014-04-01","90.9","불검출","불검출","적합"
"6","과자(쿠키)","도쿠시마현","2014-03-16","90.9","불검출","불검출","적합"
"7","과자(쿠키)","도쿠시마현","2014-03-17","90.9","불검출","불검출","적합"
"8","기타장류","후쿠오카현","2014-06-04","350","불검출","불검출","적합"
"9","곡류가공품","오사카부","2014-07-23","500","불검출","불검출","적합"
"10","전분가공품","오사카부","2014-07-16","400","불검출","불검출","적합"
"11","향미유","사이타마현","2014-07-14","210","불검출","불검출","적합"
"12","튀김식품","오이타현","2014-07-22","300","불검출","불검출","적합"
"13","양조간장","아이치현","2014-07-04","1,080","불검출","불검출","적합"
"14","카레","나가노현","2014-06-09","1,000","불검출","불검출","적합"
"15","카레","나가노현","2014-06-10","600","불검출","불검출","적합"
"16","카레","나가노현","2014-05-23","500","불검출","불검출","적합"
"17","카레분","사이타마현","2014-05-13","160","불검출","불검출","적합"
"18","소스류","니가타현","2014-07-22","1,423.8","불검출","불검출","적합"
"19","소스류","니가타현","2014-07-16","2,260.8","불검출","불검출","적합"
