"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","86건","","112,623","","",""
"1","비타민/코엔자임Q10","시즈오카현","2014-03-30","1.56","불검출","불검출","적합"
"2","농산물조림","도쿠시마현","2014-03-11","36","불검출","불검출","적합"
"3","소스류","사가현","2014-06-24","24.5","불검출","불검출","적합"
"4","볶은커피","사이타마현","2014-06-11","600","불검출","불검출","적합"
"5","드레싱","나가사키현","2014-07-16","1,363.72","불검출","불검출","적합"
"6","소스류","나가사키현","2014-07-24","3,690","불검출","불검출","적합"
"7","소스류","나가사키현","2014-07-23","1,242","불검출","불검출","적합"
"8","볶은커피","사이타마현","2014-06-04","42","불검출","불검출","적합"
"9","과자(한과류)","나가노현","2014-07-23","3,864","불검출","불검출","적합"
"10","볶은커피","효고현","2014-06-17","1,800","불검출","불검출","적합"
"11","소스류","나가사키현","2014-07-18","1,286.74","불검출","불검출","적합"
"12","소스류","나가사키현","2014-07-22","1,953.94","불검출","불검출","적합"
"13","가공두부","오사카부","2014-07-09","80","불검출","불검출","적합"
"14","청국장","교토부","2014-07-14","144","불검출","불검출","적합"
"15","양조간장","아이치현","2014-05-16","108","불검출","불검출","적합"
"16","카레","아오모리현","2014-07-11","212.5","불검출","불검출","적합"
"17","카레","효고현","2014-07-23","4,420","불검출","불검출","적합"
"18","향미유","사이타마현","2014-07-22","20,740","불검출","불검출","적합"
"19","과자(쿠키)","도쿠시마현","2014-07-17","925.88","불검출","불검출","적합"
