"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","64건","","509,425","","",""
"1","액상차","미에현","2014-04-13","660","불검출","불검출","적합"
"2","냉면","구마모토현","2014-07-04","2,064","불검출","불검출","적합"
"3","국수","구마모토현","2014-07-01","388.4","불검출","불검출","적합"
"4","냉면","구마모토현","2014-07-04","237.6","불검출","불검출","적합"
"5","국수","구마모토현","2014-06-12","240","불검출","불검출","적합"
"6","냉면","구마모토현","2014-06-30","132","불검출","불검출","적합"
"7","소스류","사가현","2014-03-13","450","불검출","불검출","적합"
"8","소스류","나가사키현","2014-07-16","10,032","불검출","불검출","적합"
"9","소스류","나가사키현","2014-07-24","1,200.54","불검출","불검출","적합"
"10","소스류","나가사키현","2014-07-18","1,310.7","불검출","불검출","적합"
"11","이염화이소시아뉼산나트륨","도쿠시마현","2014-07-22","16,200","불검출","불검출","적합"
"12","드레싱","도쿄도","2014-06-25","120","불검출","불검출","적합"
"13","냉면","효고현","2014-07-14","1,920","불검출","불검출","적합"
"14","수산물가공품","교토부","2014-07-24","90","불검출","불검출","적합"
"15","수산물가공품","효고현","2014-07-11","18","불검출","불검출","적합"
"16","즉석조리식품","지바현","2014-07-07","28.68","불검출","불검출","적합"
"17","볶은커피","사이타마현","2014-07-22","4,656","불검출","불검출","적합"
"18","기타가공품(참깨분)","미에현","2014-07-22","72","불검출","불검출","적합"
"19","농산물조림","야마가타현","2014-07-04","400","불검출","불검출","적합"
