"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 63건","","","","128,967","","",""
"1","당류가공품","교토부","2017-11-07","240","불검출","불검출","적합"
"2","캔디류(사탕)","아이치현","2017-12-26","3,600","불검출","불검출","적합"
"3","캔디류(사탕)","아이치현","2017-12-25","1,188","불검출","불검출","적합"
"4","캔디류(사탕)","아이치현","2017-12-27","310","불검출","불검출","적합"
"5","과자(비스킷)","아이치현","2017-12-12","1,395","불검출","불검출","적합"
"6","캔디류(사탕)","아이치현","2017-12-26","480","불검출","불검출","적합"
"7","캔디류(사탕)","아이치현","2017-12-27","194","불검출","불검출","적합"
"8","국수","구마모토현","2017-11-16","929","불검출","불검출","적합"
"9","유탕면류","후쿠오카현","2017-11-11","231","불검출","불검출","적합"
"10","인스턴트커피","미에현","2017-10-31","96","불검출","불검출","적합"
"11","인스턴트커피","군마현","2017-10-31","108","불검출","불검출","적합"
"12","국수","구마모토현","2017-11-10","598","불검출","불검출","적합"
"13","과자(크래커)","아이치현","2017-12-12","1,733","불검출","불검출","적합"
