"검사결과
수입
제조일자","","","","","","",""
"순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"80","과자(쿠키)","아이치현","2017-12-16","144","불검출","불검출","적합"
"81","과자(크래커)","니가타현","2017-12-11","168","불검출","불검출","적합"
"82","효모추출물제품","오이타현","2017-06-21","2,000","불검출","불검출","적합"
"83","분말셀룰로스","시마네현","2017-09-08","9,600","불검출","불검출","적합"
"84","초콜릿가공품","효고현","2017-12-13","636","불검출","불검출","적합"
"85","초콜릿가공품","효고현","2017-12-04","36","불검출","불검출","적합"
"86","기타가공품","시가현","","223","불검출","불검출","적합"
"87","과자","사이타마현","","30","불검출","불검출","적합"
"88","기타가공품","시가현","","113","불검출","불검출","적합"
"89","과자","사이타마현","","44","불검출","불검출","적합"
"90","수산물가공품","에히메현","2017-12-11","300","불검출","불검출","적합"
"91","식염절임","야마가타현","2017-12-04","3,630","불검출","불검출","적합"
"92","소스류","사이타마현","2017-11-16","1,264","불검출","불검출","적합"
"93","향신료조제품
(고추냉이가공품)","도쿄도","2017-12-20","3,600","불검출","불검출","적합"
