"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 181건","","","","1,603,829","","",""
"1","전분가공품","에히메현","2019-03-15","30,200","불검출","불검출","적합"
"2","소스","사가현","2018-12-06","6,674","불검출","불검출","적합"
"3","즉석조리식품","나가노현","2019-03-06","998","불검출","불검출","적합"
"4","혼합장","나가노현","2019-03-04","1,000","불검출","불검출","적합"
"5","혼합장","나가노현","2019-03-08","1,664","불검출","불검출","적합"
"6","즉석조리식품","나가노현","2019-03-08","31","불검출","불검출","적합"
"7","복합조미식품","야마구치현","2019-03-04","300","불검출","불검출","적합"
"8","복합조미식품","야마구치현","2019-01-29","130","불검출","불검출","적합"
"9","혼합제제","도쿄도","2019-03-18","1,200","불검출","불검출","적합"
"10","초콜릿가공품","사이타마현","2018-03-11","231","불검출","불검출","적합"
"11","묵류","돗토리현","2018-12-29","75","불검출","불검출","적합"
"12","복합조미식품","야마구치현","2019-03-25","10,000","불검출","불검출","적합"
"13","혼합제제","효고현","2019-03-22","17","불검출","불검출","적합"
"14","혼합제제","효고현","2019-03-20","17","불검출","불검출","적합"
