"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 98건","","","","267,474","","",""
"1","혼합제제","오사카부","2017-06-06","104","불검출","불검출","적합"
"2","곡류가공품","효고현","2017-04-13","120","불검출","불검출","적합"
"3","곡류가공품","효고현","2017-03-13","4,496","불검출","불검출","적합"
"4","볶은커피","오사카부","2017-04-12","118","불검출","불검출","적합"
"5","빵류(그외 빵류)","도치기현","2017-04-10","122","불검출","불검출","적합"
"6","캔디류(사탕)","아이치현","2017-06-07","5,400","불검출","불검출","적합"
"7","캔디류(사탕)","아이치현","2017-06-07","2,880","불검출","불검출","적합"
"8","캔디류(사탕)","아이치현","2017-06-07","2,700","불검출","불검출","적합"
"9","캔디류(사탕)","시즈오카현","2017-06-07","1,590","불검출","불검출","적합"
"10","소스류","히로시마현","2017-06-03","360","불검출","불검출","적합"
"11","과자(한과류)","도쿠시마현","2017-05-25","1,050","불검출","불검출","적합"
"12","당류가공품","오사카부","2017-05-23","178","불검출","불검출","적합"
"13","과.채가공품","오카야마현","2017-05-09","9,600","불검출","불검출","적합"
