"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","63건","","162,225","","",""
"1","볶은커피","효고현","2014-05-28","81","불검출","불검출","적합"
"2","볶은커피","효고현","2014-05-19","600","불검출","불검출","적합"
"3","볶은커피","효고현","2014-05-16","50.4","불검출","불검출","적합"
"4","수산물가공품","효고현","2014-05-02","48","불검출","불검출","적합"
"5","액상커피","시가현","2014-05-08","3,300","불검출","불검출","적합"
"6","액상커피","효고현","2014-05-22","2,775","불검출","불검출","적합"
"7","액상커피","효고현","2014-06-06","2,250","불검출","불검출","적합"
"8","캔디류(젤리)","아이치현","2014-06-02","35.6","불검출","불검출","적합"
"9","캔디류(젤리)","훗카이도","2014-05-07","50.4","불검출","불검출","적합"
"10","과.채주스","후쿠오카현","2014-06-04","344.4","불검출","불검출","적합"
"11","청주","교토부","2014-06-01","1,800","불검출","불검출","적합"
"12","청주","교토부","2014-06-01","300","불검출","불검출","적합"
"13","기타가공품","오사카부","2014-03-19","10","불검출","불검출","적합"
"14","청주","교토부","2014-06-01","432","불검출","불검출","적합"
"15","청주","교토부","2014-06-01","432","불검출","불검출","적합"
"16","청주","교토부","2014-06-01","432","불검출","불검출","적합"
"17","고형차","효고현","2014-07-07","7,000","불검출","불검출","적합"
"18","곡류가공품","시즈오카현","2014-06-06","1,000","불검출","불검출","적합"
