"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 207건","","","","588,360","","",""
"1","헤미셀룰라아제","효고현","2019-01-05","40","불검출","불검출","적합"
"2","카레(커리)","시즈오카현","2018-12-13","1,890","불검출","불검출","적합"
"3","카레(커리)","니가타현","2018-12-13","600","불검출","불검출","적합"
"4","소스","후쿠오카현","2019-01-25","650","불검출","불검출","적합"
"5","과자","구마모토현","2019-01-18","108","불검출","불검출","적합"
"6","당류가공품","지바현","2018-12-20","398","불검출","불검출","적합"
"7","혼합제제","오사카부","2018-12-19","660","불검출","불검출","적합"
"8","볶은커피","사이타마현","2018-11-20","134","불검출","불검출","적합"
"9","가르시니아
캄보지아추출물","시즈오카현","2019-01-16","204","불검출","불검출","적합"
"10","유바","아이치현","2018-10-31","53","불검출","불검출","적합"
"11","향신료조제품","도쿄도","2019-01-28","1,440","불검출","불검출","적합"
"12","건어포","군마현","2019-01-23","1,040","불검출","불검출","적합"
"13","곡류가공품","히로시마현","2019-01-09","150","불검출","불검출","적합"
