"순 번","품목명","제조·생산지","제조일자","중량(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","117건","","201,393","","",""
"1","소스류","나가사키현","2014-08-23","3,690","불검출","불검출","적합"
"2","소스류","나가사키현","2014-08-25","1,266.54","불검출","불검출","적합"
"3","소스류","나가사키현","2014-08-23","1,789.04","불검출","불검출","적합"
"4","소스류","나가사키현","2014-08-21","1,426.88","불검출","불검출","적합"
"5","소스류","나가사키현","2014-08-22","2,613.88","불검출","불검출","적합"
"6","건어포류","교토부","2014-08-21","250","불검출","불검출","적합"
"7","건어포류","교토부","2014-08-22","500","불검출","불검출","적합"
"8","금박","이시카와현","2014-09-10","0.09","불검출","불검출","적합"
"9","당류가공품","교토부","2014-05-21","128.7","불검출","불검출","적합"
"10","당류가공품","교토부","2014-04-25","143.55","불검출","불검출","적합"
"11","당류가공품","교토부","2014-04-25","129.15","불검출","불검출","적합"
"12","당류가공품","교토부","2014-04-25","180","불검출","불검출","적합"
"13","젖산","이바라키현","2014-08-03","14,400","불검출","불검출","적합"
"14","드레싱","도치기현","2014-07-30","75","불검출","불검출","적합"
"15","청주","시즈오카현","2014-08-01","432","불검출","불검출","적합"
"16","청주","교토부","2014-08-18","172.8","불검출","불검출","적합"
"17","청주","시즈오카현","2014-08-01","1,728","불검출","불검출","적합"
