"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","96건","","174,598","","",""
"1","즉석조리식품","효고현","2014-09-13","76","불검출","불검출","적합"
"2","혼합제제","지바현","2014-10-03","200","불검출","불검출","적합"
"3","혼합제제","지바현","2014-10-02","200","불검출","불검출","적합"
"4","청주","사이타마현","2014-10-20","2,853.8","불검출","불검출","적합"
"5","청주","후쿠시마현","2014-10-01","360","불검출","불검출","적합"
"6","과.채가공품","오카야마현","2014-10-23","118","불검출","불검출","적합"
"7","빵류(케이크)","효고현","2014-10-20","336","불검출","불검출","적합"
"8","빵류(케이크)","효고현","2014-10-20","3,474.4","불검출","불검출","적합"
"9","합성착향료","가나가와현","2014-11-10","2","불검출","불검출","적합"
"10","혼합제제","사이타마현","2014-10-21","15","불검출","불검출","적합"
"11","과자(스낵과자)","나가노현","2014-10-26","1,008","불검출","불검출","적합"
"12","즉석조리식품","사가현","2014-09-24","44.4","불검출","불검출","적합"
"13","즉석조리식품","효고현","2014-09-18","77","불검출","불검출","적합"
"14","청주","교토부","2014-09-04","103.5","불검출","불검출","적합"
"15","청주","교토부","2014-09-16","207","불검출","불검출","적합"
"16","청주","아키타현","2014-10-06","172.5","불검출","불검출","적합"
"17","청주","아키타현","2014-09-10","207","불검출","불검출","적합"
