"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","89건","","427,418","","",""
"1","비타민/무기질","시즈오카현","2014-07-23","9","불검출","불검출","적합"
"2","음료베이스","시즈오카현","2014-09-10","209.2","불검출","불검출","적합"
"3","가공두부","교토부","2014-10-06","900","불검출","불검출","적합"
"4","기타천연착향료","효고현","2014-10-22","30","불검출","불검출","적합"
"5","혼합제제","효고현","2014-10-23","24","불검출","불검출","적합"
"6","혼합음료","효고현","2014-08-28","1,056","불검출","불검출","적합"
"7","준초콜릿","가나가와현","2014-09-24","195","불검출","불검출","적합"
"8","캔디류(사탕)","가나가와현","2014-10-25","306.24","불검출","불검출","적합"
"9","과자(비스킷)","이바라키현","2014-09-25","729","불검출","불검출","적합"
"10","과자(비스킷)","이바라키현","2014-09-25","301.6","불검출","불검출","적합"
"11","과자(비스킷)","이바라키현","2014-09-09","147.6","불검출","불검출","적합"
"12","복합조미식품","나라현","2014-09-23","150","불검출","불검출","적합"
"13","소스류","후쿠오카현","2014-09-10","144","불검출","불검출","적합"
"14","캔디류(사탕)","미에현","2014-10-09","422.4","불검출","불검출","적합"
"15","캔디류(사탕)","미에현","2014-10-03","422.4","불검출","불검출","적합"
"16","캔디류(사탕)","미에현","2014-10-03","422.4","불검출","불검출","적합"
"17","과자(비스킷)","이바라키현","2014-09-17","128","불검출","불검출","적합"
