"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 126건","","","","921,743","","",""
"1","혼합제제","사이타마현","2019-03-15","300","불검출","불검출","적합"
"2","기타 주류","후쿠오카현","2018-12-03","108","불검출","불검출","적합"
"3","청주","시마네현","2019-03-05","86","불검출","불검출","적합"
"4","알긴산프로필렌글리콜","지바현","2019-02-28","2,000","불검출","불검출","적합"
"5","덱스트린","효고현","2019-01-15","25,600","불검출","불검출","적합"
"6","기타가공품","시즈오카현","2018-11-26","320","불검출","불검출","적합"
"7","캔디류","아이치현","2019-03-19","122","불검출","불검출","적합"
"8","혼합제제","효고현","2019-03-27","17","불검출","불검출","적합"
"9","합성향료","효고현","2019-03-27","34","불검출","불검출","적합"
"10","혼합제제","효고현","2019-03-27","51","불검출","불검출","적합"
"11","혼합제제","효고현","2019-03-27","34","불검출","불검출","적합"
"12","혼합제제","효고현","2019-03-27","17","불검출","불검출","적합"
"13","혼합제제","효고현","2019-03-27","34","불검출","불검출","적합"
"14","혼합제제","효고현","2019-03-20","17","불검출","불검출","적합"
