"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 74건","","","","704,147","","",""
"1","혼합장","나가노현","2019-01-11","7,741","불검출","불검출","적합"
"2","카레(커리)","나가노현","2018-12-07","8,910","불검출","불검출","적합"
"3","카레(커리)","나가노현","2018-11-29","8,910","불검출","불검출","적합"
"4","혼합제제","에히메현","2019-03-08","450","불검출","불검출","적합"
"5","청주","도야마현","2019-02-26","184","불검출","불검출","적합"
"6","청주","히로시마현","2019-02-18","173","불검출","불검출","적합"
"7","청주","히로시마현","2019-02-18","104","불검출","불검출","적합"
"8","소스","사가현","2019-02-20","984","불검출","불검출","적합"
"9","소스","미에현","2018-12-25","190","불검출","불검출","적합"
"10","소스","아이치현","2019-01-28","268","불검출","불검출","적합"
"11","향신료조제품","미야기현","2019-01-18","350","불검출","불검출","적합"
"12","복합조미식품","니가타현","2019-02-07","579","불검출","불검출","적합"
"13","카레(커리)","니가타현","2019-02-21","1,188","불검출","불검출","적합"
"14","기타가공품","이바라키현","2019-02-26","18,000","불검출","불검출","적합"
