"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 35건","","","","204,808","","",""
"1","혼합제제","오카야마현","2017-07-04","160","불검출","불검출","적합"
"2","기타가공품","이바라키현","2017-07-04","27,000","불검출","불검출","적합"
"3","볶은커피","시즈오카현","2017-06-27","960","불검출","불검출","적합"
"4","식초절임(매실절임)","와카야마현","2017-07-03","160","불검출","불검출","적합"
"5","장류절임","니가타현","2017-07-05","622","불검출","불검출","적합"
"6","복합조미식품","구마모토현","2017-07-18","486","불검출","불검출","적합"
"7","기타가공품","지바현","2016-07-15","104","불검출","불검출","적합"
"8","복합조미식품","구마모토현","2017-07-19","338","불검출","불검출","적합"
"9","금박","교토부","2017-07-05","0.24","불검출","불검출","적합"
"10","수산물가공품","후쿠시마현","2017-03-25","300","불검출","불검출","적합"
"11","양념젓갈","가나가와현","2017-06-30","360","불검출","불검출","적합"
"12","어묵","이시카와현","2017-06-21","144","불검출","불검출","적합"
"13","수산물가공품","후쿠시마현","2017-01-26","120","불검출","불검출","적합"
