"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동가자미(각시가자미)","러시아","2019-05-24","22,050","불검출","불검출","적합"
"2","냉동명태(F)","러시아","2019-05-24","23,250","불검출","불검출","적합"
"3","냉동어란(명란)","러시아","2019-05-24","33,125","불검출","불검출","적합"
"4","냉동명태(F)","러시아","2019-05-24","21,750","불검출","불검출","적합"
"5","냉동명태(F)","러시아","2019-05-24","22,150","불검출","불검출","적합"
"6","마른꼴뚜기","캄보디아","2019-05-24","18","불검출","불검출","적합"
"7","냉동어란(명란)","미국","2019-05-24","39,732","불검출","불검출","적합"
"8","마른해조(스피노잠)","탄자니아","2019-05-24","40,000","불검출","불검출","적합"
"9","냉동명태","미국","2019-05-24","23,521","불검출","불검출","적합"
"10","냉동명태(F)","러시아","2019-05-24","24,000","불검출","불검출","적합"
"11","냉동가자미(첨치가자미,F)","미국","2019-05-24","10,000","불검출","불검출","적합"
"합계","","-","-","259,596","-","-","-"
