"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 71건","","","","161,690","","",""
"1","캔디류","군마현","2019-03-14","1,248","불검출","불검출","적합"
"2","캔디류","군마현","2019-03-04","7,488","불검출","불검출","적합"
"3","생면","기후현","2019-04-19","369","불검출","불검출","적합"
"4","분말셀룰로스","훗카이도","2019-02-18","9,360","불검출","불검출","적합"
"5","향신료조제품","나가노현","2019-04-11","4,300","불검출","불검출","적합"
"6","합성향료","효고현","2019-04-18","10","불검출","불검출","적합"
"7","혼합제제","효고현","2019-04-22","34","불검출","불검출","적합"
"8","혼합제제","효고현","2019-04-23","34","불검출","불검출","적합"
"9","합성향료","효고현","2019-04-18","17","불검출","불검출","적합"
"10","숙면","구마모토현","2019-03-23","642","불검출","불검출","적합"
"11","전분","가고시마현","2018-11-08","18,500","불검출","불검출","적합"
"12","전분","가고시마현","2018-11-29","18,500","불검출","불검출","적합"
"13","탄산칼슘","오카야마현","2019-04-17","1,000","불검출","불검출","적합"
"14","맥주","교토부","2019-05-01","23,398","불검출","불검출","적합"
"15","침출차","시즈오카현","2019-02-02","20","불검출","불검출","적합"
