"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건35","-","-","92,370","-","-","-"
"1","활방어","나가사키현","2015-11-19","5,517","불검출","불검출","적합"
"2","활가리비","홋카이도","2015-11-19","6,337","불검출","불검출","적합"
"3","냉장병어","효고현","2015-11-19","100","불검출","불검출","적합"
"4","활장어 먹장어
(
)","나가사키현","2015-11-19","2,087","불검출","불검출","적합"
"5","냉장갈치","와카야마현","2015-11-19","768","불검출","불검출","적합"
"6","냉장명태","홋카이도","2015-11-19","6,000","불검출","불검출","적합"
"7","활우렁쉥이","홋카이도","2015-11-19","17,974","불검출","불검출","적합"
"8","냉장명태","홋카이도","2015-11-19","4,500","불검출","불검출","적합"
"9","활꼬막","후쿠오카현","2015-11-19","1,200","불검출","불검출","적합"
"10","활꼬막 새꼬막
(
)","후쿠오카현","2015-11-19","3,280","불검출","불검출","적합"
"11","냉장돔 황돔(
)","야마구치현","2015-11-19","353","불검출","불검출","적합"
"12","냉장가오리","야마구치현","2015-11-19","160","불검출","불검출","적합"
"13","냉장홍어","야마구치현","2015-11-19","440","불검출","불검출","적합"
"14","냉장명태","홋카이도","2015-11-19","3,000","불검출","불검출","적합"
"15","냉장명태","홋카이도","2015-11-19","4,500","불검출","불검출","적합"
