"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","78건","","213,259","","",""
"1","건어포류","교토부","2014-11-04","300","불검출","불검출","적합"
"2","건어포류","교토부","2014-11-01","700","불검출","불검출","적합"
"3","건어포류","교토부","2014-11-04","120","불검출","불검출","적합"
"4","건어포류","교토부","2014-11-01","100","불검출","불검출","적합"
"5","건어포류","교토부","2014-11-04","1,000","불검출","불검출","적합"
"6","소스류","히로시마현","2014-10-31","1,008","불검출","불검출","적합"
"7","소스류","히로시마현","2014-10-31","703","불검출","불검출","적합"
"8","과자(크래커)","이바라키현","2014-10-24","457.5","불검출","불검출","적합"
"9","소스류","나가사키현","2014-10-31","8,778","불검출","불검출","적합"
"10","소스류","나가사키현","2014-11-08","1,177","불검출","불검출","적합"
"11","소스류","나가사키현","2014-11-07","1,130","불검출","불검출","적합"
"12","소스류","나가사키현","2014-11-07","1,319.88","불검출","불검출","적합"
"13","소스류","나가사키현","2014-10-25","5,313.6","불검출","불검출","적합"
"14","소스류","가나가와현","2014-10-24","261","불검출","불검출","적합"
"15","소스류","가나가와현","2014-10-24","806","불검출","불검출","적합"
"16","소스류","가나가와현","2014-10-24","479.25","불검출","불검출","적합"
"17","소스류","나가사키현","2014-10-25","6,013.28","불검출","불검출","적합"
