"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","84건","","148,754","","",""
"1","곡류가공품","효고현","2014-03-02","140","불검출","불검출","적합"
"2","합성착향료","가나가와현","2014-11-10","2","불검출","불검출","적합"
"3","합성착향료","야마가타현","2014-11-10","11","불검출","불검출","적합"
"4","합성착향료","야마가타현","2014-11-11","2","불검출","불검출","적합"
"5","식물성크림","구마모토현","2014-10-27","28.8","불검출","불검출","적합"
"6","소스류","가나가와현","2014-10-23","270","불검출","불검출","적합"
"7","소스류","가나가와현","2014-10-28","73.8","불검출","불검출","적합"
"8","소스류","가나가와현","2014-10-23","90.65","불검출","불검출","적합"
"9","소스류","가나가와현","2014-10-28","98.05","불검출","불검출","적합"
"10","고형차","효고현","2014-11-17","7,000","불검출","불검출","적합"
"11","폴리이소부틸렌","가나가와현","2014-07-29","12,800","불검출","불검출","적합"
"12","복합조미식품","히로시마현","2014-11-19","450","불검출","불검출","적합"
"13","카레","도치기현","2014-09-26","3,836.4","불검출","불검출","적합"
"14","과자(비스킷)","아이치현","2014-11-13","1,395","불검출","불검출","적합"
"15","소스류","지바현","2014-09-01","231.88","불검출","불검출","적합"
"16","과자(비스킷)","니가타현","2014-11-11","315","불검출","불검출","적합"
"17","과자(비스킷)","니가타현","2014-11-08","116.16","불검출","불검출","적합"
