"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","95건","","288,832","","",""
"1","금박","이시카와현","2014-11-20","0.09","불검출","불검출","적합"
"2","조미된장","나가노현","2014-11-06","16,300","불검출","불검출","적합"
"3","볶은커피","오사카부","2014-11-14","1,382.4","불검출","불검출","적합"
"4","과자(스낵과자)","니가타현","2014-11-06","504","불검출","불검출","적합"
"5","수산물가공품","훗카이도","2014-10-22","200","불검출","불검출","적합"
"6","청주","아키타현","2014-11-19","51.84","불검출","불검출","적합"
"7","청주","아키타현","2014-11-19","155.52","불검출","불검출","적합"
"8","유탕면류","가고시마현","2014-11-10","396","불검출","불검출","적합"
"9","유탕면류","가고시마현","2014-10-20","450","불검출","불검출","적합"
"10","유탕면류","가고시마현","2014-11-11","396","불검출","불검출","적합"
"11","유탕면류","가고시마현","2014-10-31","387","불검출","불검출","적합"
"12","금박","이시카와현","2014-11-07","0.28","불검출","불검출","적합"
"13","혼합제제","미에현","2014-11-05","54","불검출","불검출","적합"
"14","혼합제제","효고현","2014-11-19","34","불검출","불검출","적합"
"15","혼합제제","효고현","2014-11-19","51","불검출","불검출","적합"
"16","혼합제제","효고현","2014-11-19","34","불검출","불검출","적합"
"17","혼합제제","효고현","2014-11-19","170","불검출","불검출","적합"
