"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","89건","","135,745","","",""
"1","과.채가공품","사가현","2014-10-21","20","불검출","불검출","적합"
"2","드레싱","오사카부","2014-11-11","1,395","불검출","불검출","적합"
"3","소스류","사가현","2014-08-01","4,077","불검출","불검출","적합"
"4","드레싱","도쿄도","2014-10-29","180","불검출","불검출","적합"
"5","혼합제제","사이타마현","2014-11-14","20","불검출","불검출","적합"
"6","소스류","가나가와현","2014-10-23","258.75","불검출","불검출","적합"
"7","소스류","가나가와현","2014-10-24","495","불검출","불검출","적합"
"8","소스류","가나가와현","2014-10-23","278.4","불검출","불검출","적합"
"9","혼합제제","와카야마현","2014-11-07","15","불검출","불검출","적합"
"10","기타가공품","아이치현","2014-10-30","6","불검출","불검출","적합"
"11","당류가공품","기후현","2014-05-01","90","불검출","불검출","적합"
"12","소스류","히로시마현","2014-10-28","630","불검출","불검출","적합"
"13","비타민","오키나와현","2014-07-30","99","불검출","불검출","적합"
"14","마요네즈","효고현","2014-10-28","700","불검출","불검출","적합"
"15","드레싱","사가현","2014-10-30","6,030","불검출","불검출","적합"
"16","식물성크림","구마모토현","2014-10-31","24","불검출","불검출","적합"
"17","백설탕","돗토리현","2014-10-29","18","불검출","불검출","적합"
