"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 53건","","","","103,684","","",""
"1","기타
식용유지가
공품","훗카이도","2018-11-08","3,008","불검출","불검출","적합"
"2","과자","사이타마현","2018-10-25","478","불검출","불검출","적합"
"3","과자","아이치현","2018-11-21","360","불검출","불검출","적합"
"4","과자","아이치현","2018-11-22","480","불검출","불검출","적합"
"5","과자","아이치현","2018-11-22","456","불검출","불검출","적합"
"6","절임식품","도치기현","2018-11-19","130","불검출","불검출","적합"
"7","절임식품","도치기현","2018-11-19","42","불검출","불검출","적합"
"8","절임식품","도치기현","2018-11-19","30","불검출","불검출","적합"
"9","절임식품","도치기현","2018-11-19","60","불검출","불검출","적합"
"10","절임식품","도치기현","2018-11-19","150","불검출","불검출","적합"
"11","소스","에히메현","2018-11-15","5,897","불검출","불검출","적합"
"12","합성향료","효고현","2018-11-15","30","불검출","불검출","적합"
