"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 117건","","","","198,394","","",""
"1","건어포","시즈오카현","2018-11-07","48","불검출","불검출","적합"
"2","기타가공품","사이타마현","2017-11-06","7","불검출","불검출","적합"
"3","과자","이바라키현","2018-11-12","719","불검출","불검출","적합"
"4","빵류","훗카이도","2018-11-09","60","불검출","불검출","적합"
"5","카복시메틸셀룰로
스나트륨","시마네현","2018-09-16","1,000","불검출","불검출","적합"
"6","유탕면","후쿠오카현","2018-10-19","91","불검출","불검출","적합"
"7","유탕면","후쿠오카현","2018-11-07","148","불검출","불검출","적합"
"8","유탕면","후쿠오카현","2018-10-25","156","불검출","불검출","적합"
"9","향신료조제품","사이타마현","2018-11-01","372","불검출","불검출","적합"
"10","카레(커리)","니가타현","2018-10-03","792","불검출","불검출","적합"
"11","카레(커리)","니가타현","2018-10-02","792","불검출","불검출","적합"
"12","수산화칼슘","고치현","2018-11-13","10,000","불검출","불검출","적합"
