"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"5","냉동꽁치","대만","2018-12-14","46,590","적합","적합","적합"
"6","냉동꽁치","대만","2018-12-14","17,203","적합","적합","적합"
"7","냉동꽁치","대만","2018-12-14","20,460","적합","적합","적합"
"8","냉동꽁치","대만","2018-12-14","7,671","적합","적합","적합"
"9","냉동꽁치","대만","2018-12-14","331,149","적합","적합","적합"
"10","냉동대구(목살)","러시아","2018-12-14","3,075","적합","적합","적합"
"11","냉동꽁치","대만","2018-12-14","108,613","적합","적합","적합"
"12","냉동꽁치","대만","2018-12-14","66,157","적합","적합","적합"
"13","냉동다랑어(황다랑어,목살)","솔로몬군도","2018-12-14","270","적합","적합","적합"
"14","냉동꽁치","대만","2018-12-14","66,046","적합","적합","적합"
"합계","","-","-","1,857,983","-","-","-"
