"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 187건","","","","437,117","","",""
"1","캔디류","아이치현","2018-10-19","1,941","불검출","불검출","적합"
"2","캔디류","나라현","2018-11-07","119","불검출","불검출","적합"
"3","액상차","시가현","2018-10-01","13,800","불검출","불검출","적합"
"4","캔디류","오사카부","2018-09-02","106","불검출","불검출","적합"
"5","캔디류","오사카부","2018-09-02","106","불검출","불검출","적합"
"6","혼합제제","시즈오카현","2018-09-26","60","불검출","불검출","적합"
"7","혼합제제","시즈오카현","2018-10-17","50","불검출","불검출","적합"
"8","고형차","교토부","2019-10-25","1,382","불검출","불검출","적합"
"9","기타가공품","나가노현","2018-11-07","154","불검출","불검출","적합"
"10","기타장류","나가노현","2018-11-06","154","불검출","불검출","적합"
"11","즉석조리식품","나가노현","2018-11-13","207","불검출","불검출","적합"
"12","혼합장","나가노현","2018-11-12","330","불검출","불검출","적합"
