"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"2","냉동명태(F)","미국","2019-01-22","24,000","불검출","불검출","적합"
"3","냉동대구(F)","러시아","2019-01-22","9,920","불검출","불검출","적합"
"4","냉동가자미(첨치가자미,F)","미국","2019-01-22","23,000","불검출","불검출","적합"
"5","냉동메기(PANGASIUS 메기)","미얀마","2019-01-22","830","불검출","불검출","적합"
"6","냉동가자미(첨치가자미,F)","미국","2019-01-22","10,000","불검출","불검출","적합"
"7","냉동대구(F)","러시아","2019-01-22","6,704","불검출","불검출","적합"
"8","냉동명태(F)","러시아","2019-01-22","20,384","불검출","불검출","적합"
"9","냉동명태(F)","러시아","2019-01-22","23,250","불검출","불검출","적합"
"10","냉동명태(F)","미국","2019-01-22","23,000","불검출","불검출","적합"
"11","냉동명태(F)","러시아","2019-01-22","10,400","불검출","불검출","적합"
"12","냉동가자미(각시가자미)","러시아","2019-01-22","22,050","불검출","불검출","적합"
"합계","","-","-","195,538","-","-","-"
