"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 70건","","","","452,494","","",""
"1","합성향료","가나가와현","2018-12-12","1,000","불검출","불검출","적합"
"2","초콜릿가공품","아이치현","2018-11-16","322","불검출","불검출","적합"
"3","초콜릿가공품","아이치현","2018-12-04","120","불검출","불검출","적합"
"4","합성향료","오카야마현","2019-01-07","60","불검출","불검출","적합"
"5","혼합제제","오카야마현","2019-01-07","30","불검출","불검출","적합"
"6","혼합제제","효고현","2018-12-20","17","불검출","불검출","적합"
"7","혼합제제","효고현","2018-12-21","17","불검출","불검출","적합"
"8","혼합제제","오카야마현","2019-01-07","45","불검출","불검출","적합"
"9","혼합제제","효고현","2018-12-21","85","불검출","불검출","적합"
"10","맥주","오카야마현","2018-12-10","8,655","불검출","불검출","적합"
"11","조림류","교토부","2018-12-27","100","불검출","불검출","적합"
"12","곡류가공품","히로시마현","2018-12-14","23,491","불검출","불검출","적합"
"13","합성향료","오카야마현","2018-12-19","30","불검출","불검출","적합"
"14","프로테아제(세균성)","효고현","2018-11-23","960","불검출","불검출","적합"
