"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","65건","","262,327","","",""
"1","혼합제제","기후현","2014-10-20","140","불검출","불검출","적합"
"2","청주","아키타현","2014-10-17","255","불검출","불검출","적합"
"3","액상커피","시가현","2014-03-26","837","불검출","불검출","적합"
"4","액상커피","효고현","2014-10-08","2,775","불검출","불검출","적합"
"5","액상커피","효고현","2014-10-08","2,775","불검출","불검출","적합"
"6","액상커피","효고현","2014-10-03","2,250","불검출","불검출","적합"
"7","볶은커피","가나가와현","2014-10-27","2,340","불검출","불검출","적합"
"8","소스류","오사카부","2014-10-24","1,476","불검출","불검출","적합"
"9","클로렐라 제품","도쿄도","2014-10-14","182.4","불검출","불검출","적합"
"10","소스류","히로시마현","2014-10-17","610.8","불검출","불검출","적합"
"11","소스류","히로시마현","2014-10-06","524.4","불검출","불검출","적합"
"12","소스류","히로시마현","2014-10-22","1,980","불검출","불검출","적합"
"13","빵류(케이크)","히로시마현","2014-10-30","48","불검출","불검출","적합"
"14","빵류(케이크)","히로시마현","2014-10-29","57.6","불검출","불검출","적합"
"15","셀룰라아제","오사카부","2014-10-20","30","불검출","불검출","적합"
"16","카레","나가노현","2014-09-25","900","불검출","불검출","적합"
"17","소스류","후쿠오카현","2014-11-07","121.2","불검출","불검출","적합"
