"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","94건","","463,695","","",""
"1","글루코만난","히로시마현","2014-10-20","50","불검출","불검출","적합"
"2","소스류","히로시마현","2014-09-04","3,150","불검출","불검출","적합"
"3","혼합음료","사가현","2014-10-09","8.64","불검출","불검출","적합"
"4","카레","나가노현","2014-10-07","1,200","불검출","불검출","적합"
"5","카레분","사이타마현","2014-08-18","120","불검출","불검출","적합"
"6","소스류","훗카이도","2014-07-11","256","불검출","불검출","적합"
"7","고형차","시즈오카현","2014-10-02","360","불검출","불검출","적합"
"8","소스류","히로시마현","2014-10-03","3,960","불검출","불검출","적합"
"9","소스류","히로시마현","2014-10-06","1,835.1","불검출","불검출","적합"
"10","소스류","히로시마현","2014-10-31","1,290","불검출","불검출","적합"
"11","소스류","히로시마현","2014-10-17","3,996","불검출","불검출","적합"
"12","소스류","군마현","2014-10-31","2,300","불검출","불검출","적합"
"13","액상커피","시가현","2014-09-01","2,160","불검출","불검출","적합"
