"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","95건","","153,439","","",""
"1","기타식용유지","도쿄도","2013-02-28","14.4","불검출","불검출","적합"
"2","알긴산","지바현","2014-02-28","20","불검출","불검출","적합"
"3","소스류","히로시마현","2014-02-25","849.6","불검출","불검출","적합"
"4","소스류","히로시마현","2014-02-26","1,890","불검출","불검출","적합"
"5","소스류","히로시마현","2014-02-19","660","불검출","불검출","적합"
"6","소스류","히로시마현","2014-03-05","1,223.4","불검출","불검출","적합"
"7","소스류","히로시마현","2014-03-03","610.8","불검출","불검출","적합"
"8","소스류","히로시마현","2014-03-04","2,520","불검출","불검출","적합"
"9","소스류","히로시마현","2014-01-31","393.3","불검출","불검출","적합"
"10","소스류","히로시마현","2014-03-05","396","불검출","불검출","적합"
"11","소스류","히로시마현","2014-01-21","303.84","불검출","불검출","적합"
"12","곡류가공품","시즈오카현","2014-01-08","1,000","불검출","불검출","적합"
"13","곡류가공품","지바현","2014-02-05","90","불검출","불검출","적합"
"14","과자(크래커)","오사카부","2014-03-13","300","불검출","불검출","적합"
"15","캔디류(사탕)","아이치현","2014-03-13","640","불검출","불검출","적합"
"16","과자(스낵과자)","아이치현","2014-03-13","300","불검출","불검출","적합"
