"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","77건","","181,891","","",""
"1","커피/건조","티모르","2012-12-31","300","불검출","불검출","적합"
"2","커피/건조","멕시코","2011-12-31","354","불검출","불검출","적합"
"3","커피/건조","탄자니아","2011-12-31","300","불검출","불검출","적합"
"4","커피/건조","브라질","2014-01-01","300","불검출","불검출","적합"
"5","커피/건조","티모르","2013-12-31","120","불검출","불검출","적합"
"6","커피/건조","루안다","2014-01-01","300","불검출","불검출","적합"
"7","청주","훗카이도","2013-12-12","79.2","불검출","불검출","적합"
"8","리큐르","도치기현","2014-02-12","420","불검출","불검출","적합"
"9","청주","효고현","2014-02-03","86.4","불검출","불검출","적합"
"10","청주","효고현","2014-03-06","240","불검출","불검출","적합"
"11","청주","효고현","2013-12-26","86.4","불검출","불검출","적합"
"12","소스류","교토부","2014-02-22","387","불검출","불검출","적합"
"13","소스류","교토부","2014-02-20","102","불검출","불검출","적합"
"14","소스류","교토부","2014-02-27","125","불검출","불검출","적합"
"15","소스류","교토부","2014-02-18","262","불검출","불검출","적합"
"16","복합조미식품","교토부","2014-03-07","220","불검출","불검출","적합"
