"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","57건","","171,162","","",""
"1","오메가-3지방산함유유지(원료성)","이바라키현","2014-02-13","1,080","불검출","불검출","적합"
"2","심황색소(울금색소)","오사카부","2014-03-25","100","불검출","불검출","적합"
"3","청주","니가타현","2014-04-08","3,950","불검출","불검출","적합"
"4","갈락토올리고당","훗카이도","2013-05-04","500","불검출","불검출","적합"
"5","냉면","구마모토현","2014-03-12","108","불검출","불검출","적합"
"6","기타가공품","효고현","2013-09-25","15","불검출","불검출","적합"
"7","냉면","구마모토현","2014-03-19","1,224","불검출","불검출","적합"
"8","카레","사이타마현","2014-04-11","4,188","불검출","불검출","적합"
"9","카레","사이타마현","2014-04-09","6,496","불검출","불검출","적합"
"10","카레","사이타마현","2014-04-10","7,152","불검출","불검출","적합"
"11","청주","지바현","2014-04-10","172.8","불검출","불검출","적합"
"12","기타가공품","사이타마현","2014-03-14","300","불검출","불검출","적합"
"13","수산물가공품","오카야마현","2013-06-13","110","불검출","불검출","적합"
"14","혼합제제","오사카부","2014-03-28","100","불검출","불검출","적합"
"15","감마-오리자놀","아이치현","2007-07-05","100","불검출","불검출","적합"
"16","무기질","이와테현","2014-04-17","70","불검출","불검출","적합"
"17","혼합제제","사이타마현","2014-04-17","50","불검출","불검출","적합"
"18","캔디류(사탕)","가나가와현","2014-03-24","506","불검출","불검출","적합"
