"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","110건","","104,954","","",""
"1","고형차","교토부","2014-03-28","780","불검출","불검출","적합"
"2","청국장","도쿄도","2014-03-11","659.52","불검출","불검출","적합"
"3","혼합제제","오사카부","2014-04-22","60","불검출","불검출","적합"
"4","소스류","가나가와현","2014-04-02","578.25","불검출","불검출","적합"
"5","소스류","가나가와현","2014-04-02","785.25","불검출","불검출","적합"
"6","소스류","가나가와현","2014-04-02","821","불검출","불검출","적합"
"7","소스류","가나가와현","2014-04-03","264","불검출","불검출","적합"
"8","소스류","가나가와현","2014-03-28","474.75","불검출","불검출","적합"
"9","클로렐라 제품","시즈오카현","2014-03-28","9.6","불검출","불검출","적합"
"10","향신료조제품(고추냉이가공품)","훗카이도","2014-03-07","36","불검출","불검출","적합"
"11","기타어육가공품","훗카이도","2014-03-27","150","불검출","불검출","적합"
"12","향신료조제품","시즈오카현","2014-03-27","3,240","불검출","불검출","적합"
"13","유바","아이치현","2014-03-17","33.75","불검출","불검출","적합"
"14","카레","시즈오카현","2014-03-31","1,380","불검출","불검출","적합"
"15","카레","시즈오카현","2014-03-03","1,380","불검출","불검출","적합"
"16","아스파탐","미에현","2012-02-07","2,000","불검출","불검출","적합"
"17","당절임","구마모토현","2014-03-06","31.7","불검출","불검출","적합"
"18","혼합제제","효고현","2014-04-21","51","불검출","불검출","적합"
"19","혼합제제","효고현","2014-04-22","34","불검출","불검출","적합"
"20","혼합제제","효고현","2014-04-22","34","불검출","불검출","적합"
