"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","90건","","165,004","","",""
"1","된장","훗카이도","2014-03-22","52","불검출","불검출","적합"
"2","과자(웨이퍼)","이바라키현","2013-11-30","80","불검출","불검출","적합"
"3","즉석조리식품","나가노현","2014-03-18","1,382.4","불검출","불검출","적합"
"4","청국장","도쿄도","2013-11-06","2,770.56","불검출","불검출","적합"
"5","맥주","오이타현","2014-03-11","14,760","불검출","불검출","적합"
"6","혼합제제","군마현","2014-04-16","42","불검출","불검출","적합"
"7","된장","나가노현","2014-04-09","2,160","불검출","불검출","적합"
"8","소스류","교토부","2014-04-12","2,560","불검출","불검출","적합"
"9","소스류","교토부","2014-04-11","2,419.8","불검출","불검출","적합"
"10","소스류","교토부","2014-04-03","3,400","불검출","불검출","적합"
"11","소스류","교토부","2014-03-01","1,280","불검출","불검출","적합"
"12","소스류","교토부","2014-04-11","258","불검출","불검출","적합"
"13","소스류","교토부","2014-04-12","2,470","불검출","불검출","적합"
"14","소스류","교토부","2014-04-12","2,470","불검출","불검출","적합"
"15","소스류","교토부","2014-03-06","1,521","불검출","불검출","적합"
"16","소스류","교토부","2014-04-12","2,358","불검출","불검출","적합"
"17","소스류","교토부","2014-04-12","2,213.4","불검출","불검출","적합"
"18","소스류","교토부","2014-04-11","1,700","불검출","불검출","적합"
