"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동꽁치","대만","2018-10-26","574,884","적합","적합","적합"
"2","냉동가자미(각시가자미)","러시아","2018-10-26","22,050","적합","적합","적합"
"3","냉동가자미(각시가자미)","미국","2018-10-26","7,500","적합","적합","적합"
"4","냉동가자미(각시가자미)","러시아","2018-10-26","22,000","적합","적합","적합"
"5","활게","아일랜드","2018-10-26","731","적합","적합","적합"
"6","마른메기","스리랑카","2018-10-26","250","적합","적합","적합"
"7","냉동대구(F)","러시아","2018-10-26","1,200","적합","적합","적합"
"8","냉동꽁치","대만","2018-10-26","88,150","적합","적합","적합"
"9","냉장갈치","아랍에미리트연합","2018-10-26","500","적합","적합","적합"
"10","냉동가자미(각시가자미)","러시아","2018-10-26","20,750","적합","적합","적합"
"11","활장어(뱀장어)","호주","2018-10-26","500","적합","적합","적합"
