"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 67건","","","","680,097","","",""
"1","침출차","사이타마현","2017-06-02","100","불검출","불검출","적합"
"2","침출차","사이타마현","2017-06-02","100","불검출","불검출","적합"
"3","침출차","사이타마현","2017-06-02","50","불검출","불검출","적합"
"4","침출차","사이타마현","2017-06-02","100","불검출","불검출","적합"
"5","식물성크림","히로시마현","2017-05-18","38","불검출","불검출","적합"
"6","드레싱","사가현","2017-05-18","13,626","불검출","불검출","적합"
"7","젖산칼슘","오사카부","2017-02-22","1,000","불검출","불검출","적합"
"8","드레싱","사가현","2017-04-12","2,010","불검출","불검출","적합"
"9","드레싱","오사카부","2017-05-26","216","불검출","불검출","적합"
"10","소스류","히로시마현","2017-04-26","6,930","불검출","불검출","적합"
"11","소스류","히로시마현","2017-05-12","10,080","불검출","불검출","적합"
