"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 134건","","","","208,540","","",""
"1","과자","니가타현","2018-11-05","283","불검출","불검출","적합"
"2","과자","니가타현","2019-01-06","284","불검출","불검출","적합"
"3","유탕면","나라현","2019-01-15","360","불검출","불검출","적합"
"4","유탕면","나라현","2019-01-24","81","불검출","불검출","적합"
"5","양조간장","지바현","2019-01-11","126","불검출","불검출","적합"
"6","양조간장","지바현","2018-12-17","527","불검출","불검출","적합"
"7","소스","도치기현","2018-12-27","270","불검출","불검출","적합"
"8","유탕면","나라현","2019-01-15","360","불검출","불검출","적합"
"9","양조간장","지바현","2019-01-10","2,527","불검출","불검출","적합"
"10","과자","니가타현","2019-01-07","240","불검출","불검출","적합"
"11","혼합제제","가나가와현","2019-02-01","30","불검출","불검출","적합"
"12","캔디류","아이치현","2018-12-28","411","불검출","불검출","적합"
"13","과자","아이치현","2019-02-15","144","불검출","불검출","적합"
"14","절임식품","미야자키현","2019-02-20","480","불검출","불검출","적합"
