"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","10건","","","62,100","-","-","-"
"1","활돔(참돔)","구마모토현","2015-07-06","12,345","불검출","불검출","적합"
"2","활가리비","홋카이도","2015-07-06","7,500","불검출","불검출","적합"
"3","활가리비","홋카이도","2015-07-06","7,000","불검출","불검출","적합"
"4","활가리비","홋카이도","2015-07-06","6,000","불검출","불검출","적합"
"5","냉동황새치(F,횟감)","태평양","2015-07-06","242","불검출","불검출","적합"
"6","냉장명태","홋카이도","2015-07-06","4,066","불검출","불검출","적합"
"7","냉장홍어","홋카이도","2015-07-06","3,828","불검출","불검출","적합"
"8","활가리비","홋카이도","2015-07-06","7,221","불검출","불검출","적합"
"9","활가리비","홋카이도","2015-07-06","6,905","불검출","불검출","적합"
"10","활가리비","홋카이도","2015-07-06","6,993","불검출","불검출","적합"
