"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건49","-","-","110,147","-","-","-"
"1","활돔 참돔(
)","에히메현","2015-09-08","4,964","불검출","불검출","적합"
"2","활전갱이
(
흑점줄전갱이
)","에히메현","2015-09-08","999","불검출","불검출","적합"
"3","활돔 참돔(
)","구마모토현","2015-09-08","9,936","불검출","불검출","적합"
"4","활돔 참돔(
)","에히메현","2015-09-08","9,466","불검출","불검출","적합"
"5","활돔 참돔(
)","구마모토현","2015-09-08","10,803","불검출","불검출","적합"
"6","활가리비","홋카이도","2015-09-08","11,000","불검출","불검출","적합"
"7","냉동상어
(
진환도상어
,F)","태평양","2015-09-08","3,407","불검출","불검출","적합"
"8","활장어 먹장어
(
)","나가사키현","2015-09-08","640","불검출","불검출","적합"
"9","냉장갈치","와카야마현","2015-09-08","1,200","불검출","불검출","적합"
"10","냉장돔 참돔(
)","야마구치현","2015-09-08","2,510","불검출","불검출","적합"
"11","냉장돔 황돔(
)","야마구치현","2015-09-08","140","불검출","불검출","적합"
"12","냉장민어 수조기
(
)","야마구치현","2015-09-08","87","불검출","불검출","적합"
"13","냉장돔 황돔(
)","후쿠오카현","2015-09-08","210","불검출","불검출","적합"
"14","냉장명태","홋카이도","2015-09-08","1,468","불검출","불검출","적합"
"15","냉장갈치","오이타현","2015-09-08","471","불검출","불검출","적합"
"16","냉장돔 참돔(
)","오이타현","2015-09-08","990","불검출","불검출","적합"
"17","냉동다랑어
(
눈다랑어 횟감
,F,
)","태평양","2015-09-08","641","불검출","불검출","적합"
"18","냉장돔 황돔(
)","야마구치현","2015-09-08","425","불검출","불검출","적합"
