"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건27","-","-","70,497","-","-","-"
"1","냉동개아지살
(
가리비 포장횟감
,
)","홋카이도","2015-09-10","8,000","불검출","불검출","적합"
"2","활가리비","홋카이도","2015-09-10","7,000","불검출","불검출","적합"
"3","활가리비","홋카이도","2015-09-10","7,000","불검출","불검출","적합"
"4","활가리비","홋카이도","2015-09-10","12,000","불검출","불검출","적합"
"5","활가리비","홋카이도","2015-09-10","7,000","불검출","불검출","적합"
"6","활돔 쥐돔(
)","나가사키현","2015-09-10","100","불검출","불검출","적합"
"7","활장어 붕장어
(
)","나가사키현","2015-09-10","144","불검출","불검출","적합"
"8","활가리비","홋카이도","2015-09-10","6,840","불검출","불검출","적합"
"9","냉장갈치","와카야마현","2015-09-10","1,064","불검출","불검출","적합"
"10","냉장명태","홋카이도","2015-09-10","1,656","불검출","불검출","적합"
"11","냉장홍어","홋카이도","2015-09-10","4,105","불검출","불검출","적합"
"12","냉장갈치","와카야마현","2015-09-10","1,144","불검출","불검출","적합"
"13","냉장갈치","와카야마현","2015-09-10","1,056","불검출","불검출","적합"
"14","냉장돔 참돔(
)","야마구치현","2015-09-10","75","불검출","불검출","적합"
"15","냉장돔 황돔(
)","야마구치현","2015-09-10","310","불검출","불검출","적합"
"16","냉장갈치","와카야마현","2015-09-10","408","불검출","불검출","적합"
"17","냉장갈치","와카야마현","2015-09-10","336","불검출","불검출","적합"
"18","냉장돔 황돔(
)","야마구치현","2015-09-10","420","불검출","불검출","적합"
