"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","140","","205,479","","",""
"1","캔디류(사탕)","도야마현","2014-11-25","297.71","불검출","불검출","적합"
"2","기타장류","효고현","2015-01-09","3,060","불검출","불검출","적합"
"3","향신료조제품
(고추냉이가공품)","아이치현","2015-01-29","1,100","불검출","불검출","적합"
"4","소스류","가나가와현","2015-01-20","226.8","불검출","불검출","적합"
"5","소스류","가나가와현","2015-01-20","1,181.68","불검출","불검출","적합"
"6","소스류","가나가와현","2015-01-20","79.8","불검출","불검출","적합"
"7","소스류","가나가와현","2015-01-20","301.68","불검출","불검출","적합"
"8","인스턴트커피","오사카부","2015-01-09","43.2","불검출","불검출","적합"
"9","액상커피","시가현","2015-01-15","3,960","불검출","불검출","적합"
"10","인스턴트커피","오사카부","2015-01-07","64.8","불검출","불검출","적합"
"11","볶은커피","효고현","2015-01-15","250","불검출","불검출","적합"
"12","볶은커피","효고현","2015-01-17","2,400","불검출","불검출","적합"
