"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","122","","249,913","","",""
"1","청주","효고현","2015-01-16","960","불검출","불검출","적합"
"2","고형차","시즈오카현","2014-12-02","2,000","불검출","불검출","적합"
"3","alpha-아밀라아제(
비세균성)","아이치현","2015-02-04","101","불검출","불검출","적합"
"4","빵류(그외 빵류)","히로시마현","2015-02-05","653.17","불검출","불검출","적합"
"5","캔디류(양갱)","아이치현","2015-01-15","864","불검출","불검출","적합"
"6","과자(스낵과자)","니가타현","2015-01-29","306","불검출","불검출","적합"
"7","과자(스낵과자)","니가타현","2015-01-29","306","불검출","불검출","적합"
"8","캔디류(사탕)","아이치현","2015-01-28","900","불검출","불검출","적합"
"9","캔디류(사탕)","아이치현","2015-01-30","720","불검출","불검출","적합"
"10","과자(스낵과자)","아이치현","2015-01-19","207","불검출","불검출","적합"
"11","캔디류(캐러멜)","도치기현","2015-01-15","6,213","불검출","불검출","적합"
"12","혼합제제","오사카부","2015-02-02","10","불검출","불검출","적합"
