"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","110","","320,674","","",""
"1","캔디류(사탕)","도야마현","2014-12-19","69.6","불검출","불검출","적합"
"2","곡류가공품","아이치현","2014-12-22","1,080","불검출","불검출","적합"
"3","캔디류(캐러멜)","군마현","2014-12-23","180.48","불검출","불검출","적합"
"4","준초콜릿","가나가와현","2014-12-01","470.4","불검출","불검출","적합"
"5","화이트초콜릿","가나가와현","2015-01-09","1,014.72","불검출","불검출","적합"
"6","기타코코아가공품","이바라키현","2014-12-12","120","불검출","불검출","적합"
"7","볶은커피","오사카부","2014-11-18","1,805.33","불검출","불검출","적합"
"8","볶은커피","오사카부","2014-11-13","1,805.32","불검출","불검출","적합"
"9","볶은커피","오사카부","2014-11-20","1,095.8","불검출","불검출","적합"
"10","탄산음료","오이타현","2014-12-12","126","불검출","불검출","적합"
"11","탄산음료","오이타현","2014-12-12","168","불검출","불검출","적합"
"12","탄산음료","오이타현","2014-09-13","126","불검출","불검출","적합"
