"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","148건","","230,424","","",""
"1","향신료조제품","도쿄도","2014-11-27","1,250","불검출","불검출","적합"
"2","건어포류","시즈오카현","2014-11-18","80","불검출","불검출","적합"
"3","혼합제제","가나가와현","2014-12-19","100","불검출","불검출","적합"
"4","즉석조리식품","나가노현","2014-11-21","479.7","불검출","불검출","적합"
"5","빵류(케이크)","효고현","2014-12-21","39.56","불검출","불검출","적합"
"6","맥주","오이타현","2014-11-21","14,280","불검출","불검출","적합"
"7","빵류(그외 빵류)","효고현","2014-12-21","18.72","불검출","불검출","적합"
"8","빵류(그외 빵류)","효고현","2014-12-21","18.72","불검출","불검출","적합"
"9","자당지방산에스테
르","미에현","2014-07-28","1,000","불검출","불검출","적합"
"10","맥주","오이타현","2014-11-11","14,760","불검출","불검출","적합"
"11","빵류(케이크)","효고현","2014-12-21","56.76","불검출","불검출","적합"
"12","자당지방산에스테
르","미에현","2014-11-10","1,440","불검출","불검출","적합"
